abbreviation,اختصار
Cos,جتا
Cost,كلفة
Cost control callback,تعداد
Count,تعداد
Countable,قابل للتعداد
Counted,معدود
Counting records,تسجيلات العد
Country code,رمز البلد
Coupling,معالج
Coupon,معالج
Courseware,معالج
Covariance,معالج,تغاير مشترك
CPU,معالج,وحدة تشغيل مركزية
Crack,انهيار
Crash dump,تفريغ إنهياري
Crawler,زاحف,داب
Create,إنشاء
Creation,إنشاء
Credential,إعتماد
Credential cache,خابية إعتمادية
Credits,إشادات
Creeping featurism,إسهال الميزات
Crisp,متقصف
Critereon,معيار
Criteria,معيار
Criteria range,مجال المواصفات
Criterion,محك
Critical error,خطأ حرج
Critical section,جزء حرج,الجزء الحرج
Cron,الدورية
Crop,اقتصاص,تقليم
Cross-assembler,تصالب,تقاطع
Cross compilation,تصالب,تقاطع
Cross-compiler,تصالب,تقاطع,مترجم تحويلي
Cross-device link,تصالب,تقاطع
Crossed,تصالب,تقاطع
Cross-fade,خفوت
Cross-fading,خفوت
Crosshair,معبر
Cross-over,معبر
Cross-platform,متعدد المنصات
Cross-reference,إحالة
Cruft,تشفير
Cruft together,تشفير
Crumb,تشفير
Crypt,تشفير
Cryptanalysis,تحليل التعمية,حل الشفرة الملغزة
Cryptography,علم التعمية,تشفير ملغز  إلغاز
Cryptology,علم التشفير,كربتولوجيا
Cube,مكعب
Cubing,تراكمي
Cumulative,تراكمي
CUPS,حالي
Curly bracket,حالي
Current,حالي
Current directory,الدليل الحالي
Current session,الجلسة الحالية
Current working,الأعمال الجارية,الأشغال الجارية
Curried function,مؤشر (الفأرة)
Currying,مؤشر (الفأرة)
Cursor keys,سطح المنزلق
Cursor plane,سطح المنزلق
Customization,تخصيص
Customize,النافذة الإصطلاحية
Custom window,النافذة الإصطلاحية
Cut and paste,قص والصق
Cut buffer,صوان القص
Cutover,التحكم الآلي
Cut-through switching,التحكم الآلي
Cyber,التحكم الآلي
Cyberbunny,التحكم الآلي
Cybercafe,التحكم الآلي,المقهى السيبرانى
Cyber-squatting,دورة
Cyborg,دورة
Cycle,دورة
Cyclebabble,دورة التناسخ
Cycle crunch,دورة التناسخ
Cycle drought,دورة التناسخ
Cycle of reincarnation,دورة التناسخ
Cycle server,تدقيق دوري عن الأخطاء
Cyclic redundancy check,تدقيق دوري عن الأخطاء,اختبار دوري إضافي
Cyclic redundancy code,اسطوانة
Cyclomatic complexity,اسطوانة
Cylinder,اسطوانة,أسطوانة
Daemon,سلسلة تعاقبية,برنامج خفي
Daisy chain,سلسلة تعاقبية
Daisywheel printer,ضرر
Damage,ضرر
Dangling pointer,مؤشر مدلى
Dashboard,بيانات,لوحة المعلومات,لوحة المتابعة
Data abstraction,تجريد البيانات
Data acquisition,تحصيل (استحصال) معطيات,احتياز بيانات
Database analyst,محلل قاعدة معطيات
Database machine,مكنة قاعدة معطيات
Database manager,مدير قاعدة بيانات
Database normalisation,لغة استعلام قواعد البيانات
Database query language,لغة استعلام قواعد البيانات
Datacenter manager,مدير مركز البيانات
Data communications analyst,محلل مواصلات المعطيات
Data connection,قاموس بيانات
Data dictionary,قاموس بيانات,معجم البيانات
Data dictionary file,ملف قاموس بيانات
Data driven,مساق من البيانات
Data flow,تدفق البيانات,تدفق بيانات
Data flow analysis,تحليل تدفق بيانات
Data flow diagram,مخطط تدفق البيانات
Data fork,تشعب معطيات
Data frame,إطار قاعدة معطيات
Data glove,قفاز بيانات
Datagramt,هرمية البيانات
Dataless client,زبون خالي من المعطيات
Dataless management utility,منفعة تدبير خالية من المعطيات
Data link layer,طبقة وصل المعطيات,طبقة ربط البيانات
Data link level,مستوى وصل المعطيات
Data logger,مسجل بيانات
Data logging,سوق قاعدة معطيات,تسجيل أداء البيانات
Data mart,سوق قاعدة معطيات
Data mining,أستغلال البيانات
Data model,نموذج المعطيات
Data modeling,نمذجة المعطيات
Data modelling,نمذجة المعطيات
Data packet,رزمة بيانات
Data path,مسار بيانات
Data rate,معدل نقل البيانات
Data segment,قطعة بيانات
Data service,خدمة بيانات
Data service unit,وحدة خدمة البيانات
Data set,مجموعة بيانات,تنظيم مجموعة البيانات
Data set organization,تنظيم مجموعة البيانات
Data striping,بنية البيانات
Data transfer bus,مسرى نقل المعطيات
Data transfer rate,معدل نقل البيانات
Datatype definition,تعريف نوع المعطيات
Data unit,وحدة بيانات
Data warehouse,مخزن معطيات,مستودع بيانات
Data warehousing,خزن المعطيات
Date,تاريخ
Datum,معطى,عنصر البيانات (بيانة)
Daughter,سليلة
Daughterboard,لوحة سليلة,لوحة مساعدة
Daughtercard,بطاقة سليلة
Day,يوم
Day mode,نهاري النمط
Dead code,أزمة,مأزق
Deadly embrace,متجر
Dealer,متجر
Death code,دبينة
Deb,دبينة
Debianize,دبينة
Debugger,منقح,محدد الأخطاء
Decay,تضاؤل
Dechunker,عشري
Decidability,عشري
Decidable,عشري
Decimal point,فاصل عشري
Decision problem,مشكلة قرار,مسألة اتخاذ القرار
Decision support,دعم قرار
Decision support database,قاعدة بيانات دعم القرار,قاعدة معلومات دعم القرار
Decision theory,نظرية القرار
Declaration,إبلاغ,علانية
Declarative language,لغة تقريرية,لغة تعريفية,لغة غير إجرائية
Declare,إدلاء,إعلان
Decode,فك ترميز
Decompress,فك ضغط
Decorative,زخرفي
Decrease,تخفيض,تخفيف,تقليل
Decrypt,فك التعمية
Deductive database,قاعدة معطيات إستنتاجية
Deductive tableau,لوح إستنتاجي
Deep,غميق
Deep magic,معيار فعلي,معيار واقعي
De facto standard,معيار فعلي,معيار واقعي
Default,مبدئي,إعداد سابق
Default master,عيب
Default route,عيب
Defect,عيب
Defect analysis,تحليل العلة
Defect density,كثافة العلل
Deferral,إرجاء
Define,تعريف,تحديد
Definite clause,تعريف
Definite sentence,تعريف
Definition,تعريف
Definitional constraint programming,منكمش
Deflate,منكمش
Deflate compression,ضغط منكمش
Deforestation,إجتثاث الغابة,إزالة الغابة
Defragment,إزالة التشظية
Defunct process,إجراء ميت,إجراء فان
Degree,درجة
Degrees,درجات
Degrees of freedom,درجات الحرية
Deinstallation,إزالة التثبيت,فك التثبيت
Deinterlace,مهلة,تأخير
Dejagging,مهلة,تأخير
Delayed control-transfer,بعثة,نيابة
Delay instruction,بعثة,نيابة
Delay slot,بعثة,نيابة
Delegation,بعثة,نيابة
Deletia,حذف
Deliverable,مستلم
Delivery,تسليم
Delta,دال
Delta conversion,ألضرورة,المطلب
Delta reduction,ألضرورة,المطلب
Demand,ألضرورة,المطلب,نداء عند الطلب
Demand driven,منساق بلضرورة
Demand paged,صفحي الضرورة
Demand paging,عرض
Demo,عرض,نسخة حفز استعراضية
Demodulate,فك الترنيم,كشف الترنيم
Demodulation,كشف الترنيم
Demo mode,نمط العرض التوضيحي
Demote,حط من الرتبة
Demo version,اصدارة العرض التوضيحي
Denominator,قاسم
Denotational semantics,رفض
Deny,رفض
Depeditate,تبعية,ارتباط
Dependability,تبعية,ارتباط
Dependable software,تبعية,ارتباط
Dependancy,تبعية,ارتباط
Dependence,تبعية,ارتباط
Dependency,اعتمادية
Deprecate,أدان
Deprecated,مهجور
Deprecation,إدانة
Depth,عمق
Depth-first search,البحث بالعمق أولا,بحث بالعمق أولا
Dereference,مشتق
Derivative,مشتق
Derived,مشتق
Derived class,فئة مشتقة
Derived type,نوع مشتق
Desaturate,مخسوف,هابط
Descender,مخسوف,هابط
Descending,تناقصي
Descending sort,ترتيب تنازلي
Descent function,الوصف
Description,الوصف
Deselect,عدم انتقاء
Design pattern,منضدة,مكتب
Design recovery,منضدة,مكتب
Desk check,فحص مكتبي
Deskside,جانب المنضدة,جانب المكتب
Desktop,سطح مكتب,أعلى السطح
Desktop background,خلفية سطح المكتب
Desktop database,قاعدة بيانات سطح المكتب
Desktop environment,محيط سطح المكتب
Desktop manager,محرر سطح المكتب
Desktop publisher,محرر سطح المكتب
Desktop publishing,نشر عبر سطح المكتب
Destination,مقصد,علامة تحذيرية لنهاية الشريط
Destroy,تدمير
Destructor,مبيد,متلف
Detach,نزع
Detail,تفاصيل
Detect,كشف
Detection,اكتشاف
Detective,كاشف
Deterministic,طور,محددة
Deterministic automaton,طور
Devel,طور
Develop,طور
Developement,تطوير
Developer,مطور
Development environment,محيط التطوير
Device-dependent,خاضع للتجهيزة
Device group,مجموعة جهاز,مجموعة تجهيزات
Device-independent,إستقلالي من التجهيزة
Device independent bitmap,اسم الجهاز
Device name,اسم الجهاز
Device number,رقم الجهاز
Diacritic,قطري
Diagonal,قطري
Diagonal line,خط قطري
Dial,هتف
Dialer,حوار,برنامج للاتصال الهاتفي
Dialog box,مربع حوار
Dialout Device,جهاز الإدخال
Dial-up link,ولوج هتفي
Dial-up login,ولوج هتفي
Diameter,قطر
Diamond,الماس
Diamond key,مفتاح ماسي
Dictate,يفرض
Dictionary,قاموس,معجم
Difference,فارق,خلاف
Difference equation,معادلة فارق
Differential,تفاضلي
Differential backup,نسخ احتياطي تفاضلي
Differential driver,خط تفاضلي
Differential line,خط تفاضلي
Diges,خلاصة
Digest,خلاصة
Digi-,رقم
Digital audio,صوت رقمي
Digital camera,كمرة رقمية,آلة تصوير رقمية
Digital carrier,حامل رقمي,ناقل رقمي
Digital certificate,شهادة رقمية
Digital dashboard,ألكترونيات رقمية
Digital electronics,ألكترونيات رقمية
Digital envelope,ظرف رقمي
Digital image,صورة رقمية
Digitalize,منطق الرقمنة
Digital logic,منطق الرقمنة,منطق رقمي
Digital service unit,وحدة الخدمة الرقمية
Digital versatile disc,قرص رقمي بارع
Digits,ارقام
Dimension,بعد,قياس
Dimensioning,تعريف أو تثبيت الأبعاد
Dingbat,محرف تزييني
Diode,صمام ثنائي
Diplex,مخطوط موجه
Directed acyclic graph,مخطوط موجه
Directed graph,مخطوط موجه
Directed set,زمرة موجهة
Direct graphic,رسوميات مباشرة,بيانات مباشرة
Direction,اتجاه
Directional coupler,أمر توجيهي
Directive,أمر توجيهي,موجه
Direct mapped cache,خابية مباشرة التخطيط
Direct memory,ذاكرة مباشرة
Directory service,خدمة الدليل,خدمة المجلد
Directory stack,ركام الدليل,ركام المجلد,تكوم الدليل
Direct virtual,وسخ,بذيء
Dirty,وسخ,بذيء
Disable,تعطيل
Disassemble,فك,إخلع
Disassembly,فك,خلع
Disc,قرص
Discard,نبذ
Disc drive,إخلاء مسؤولية
Disclaimer,إخلاء مسؤولية
Disconnected,مخلوع,مفكك,مقطوع
Discrete,منفصل,متقطع
Discrete cosine transform,تحويلة "فوريه" المتقطعة
Discrete Fourier transform,تحويلة "فوريه" المتقطعة
Discrete preorder,إتحاد متقطع
Discriminated union,إتحاد متقطع
Discussion,حوار
Discussion group,مجموعة تجادل,مجموعة تناقش
Disjoint union,إتحاد منفصل,إتحاد مخلوع المفصل
Disk array,رصف أقراص
Disk controller,مراقب القرص
Disk device group,مجموعة أداة القرص
