analog to digit converter,مُحَوِّلُ تَناظُرِيُّ إلى رَقْمِيٍّ
two core per  bit store,ذاكرة ثنائية القلب لكل بيتة
two's complement,المتمم في النظام الثنائي
two-wire channel,قناة ثنائية
TWX,تى دبليو إكس
type, data,نَمَطُ البَيانِ
type, variable,نَمَطُ المُتَغَيِّرِ
,شكل بنية المتغير المستخدم في البرنامج، ويدل النمط على القيم المسموح بها، والعمليات التي يمكن أن تجري على هذا المتغير.
UART,مُرْسِلٌ مُسْتَقْبِلٌ عامٌّ غَيْرُ مُتَزامِنٍ
universal multiple octet coded character set,شفرة ( كود ) يو سي إس
uncommitted logic array,صفيف منطقي غير مُخصِّص
ultrafiche,الترافيش
unary,عَمَلِيَّةٌ أحادِيَّةٌ
unconditional branch instruction,أَمْرُ تَفْرِيعٍ غَيْرُ مَشْرُوطٍ
underflow,غيض
unexpected halt,تَوَقُّف غير متوقع
unibus,يونيبص
unicast,بثُّ أحادي عبر شبكة
unicode,يونيكود (كود موحَّد)
union,اِتِّحاد
unipolar,أحادى القطب
unipolar signal,إشارَةٌ أحادِيَّةُ القُطْبِ
UNIX,يونيكس
Unixware,يونيكس وير
unlock,فَضّ
unpack,فَكّ
updating,تَحْدِيث
uninterruptible power supply,مصدر مؤَمّن للطاقة
uptime,وَقْتُ العَمَلِ
uniform resource locator,مُحدِّد الموارد الموحد
Universal Serial Bus,بَاص عمومي لنقل البيانات على التوالي
user area,حَيِّزُ المُسْتَخْدِمِ
user datagram protocol (UDP),بروتوكول حزم بيانات المستخدم
human computer interface,التَّواصُلُ بَيْنَ المُسْتَخْدِمِ والحاسوب
user node,وُصلة (عقدة) المستخدم
user port,مَنْفَذْ المستخدم
utility programs,بَرامِجُ الخَدَماتِ
utilization ratio,نسبة الاستفادة
Unix to Unix copy program,برنامج نسخ من يونيكس ليونيكس
uuencode/uudecode,التشفير وفك التشفير (بنظام يونيكس)
ultra-violet erasable programmable read,إي بروم تُمْحَي محتوياتها بالأشعة فوق البنفسجية
,(انظر: إي بروم ( EPROM
value-added data service,خدمة بيانات لزيادة المنفعة
validation,تَأْكِيدُ الصَّلاحِيَّةِ
validity check,اِخْتِبارُ الصَّلاحِيَّةِ
VAN,شبكات لزيادة المنفعة
vaporware,منتجات وهمية
variable,مُتَغَيِّر
variable length code,شَفْرَةٌ مُتَغَيِّرَةُ الطُّولِ
variable length record,سِجِلٌّ مُتَغَيِّرُ الطُّولِ
variable length vector,مُتَّجِهٌ مُتَغَيِّرُ الطُّولِ
variable, global,مُتَغَيِّرٌ شامِلٌ
variable, local,مُتَغَيِّرٌ مَحَلِّيٌّ
variable, subscripted,مُتَغَيِّرٌ سُفْلِيُّ الرَّمْزِ
vector,مُتَّجِهٌ
vector graphics,الرَّسْمُ بالمُتَّجِهاتِ
vectored interrupt,مُقاطَعَةٌ مُوَجَّهَةٌ
Venn diagram,رَسْمُ "فن" التَّخْطِيطِيُّ
verification,التَّحَقُّقُ
versioned implementation,تطبيق على مراحل
verso,الصفحة اليسرى ( فِرسو )
vertex,عُقْدَة
VFU,وحدة الترتيب رأسيًّا
very large scale integration,تَجْمِيعٌ عالِي الكِبَرِ
VLIW,كلمة أمر فائقة الطول
video electronic standards association,رابطة القياسيات لإلكترونيات الفيديو
video graphics array,مصفوفة عرض الفيديو
very high level languages,لغات الجيل الرابع
video display board,لوحة عرض فيديو
video capture board,لوحة التقاط الفيديو
video CD,فيديو سي دي
VCD,أسطوانة فيديو مُبرمجة
video conferencing,مؤتمرات الفيديو
video data interrogators,أجهزة تحرى البيانات المرئية
video dialtone,نغمة اتصال الفيديو
video digitizer,محول رقمي للصور
video adapter,مهايئ فيديو
video file,ملف فيديو
VOD,فيديو حسب الطلب
image grabber,ماسح فيديو
videodisc pits, optical,مسارات مرئية على أقراص تليفزيونية
videodisk,قرص فيديو
videotex,فيديوتكس
videotext,العرض المرئي للنصوص
view data type systems,أنظمة البيانات المرئية
virgin medium,وسط بكر
virtual,افتراضي
virtual circuit,الدائرة الافتراضية
virtual disk,قرص افتراضي
virtual image,الصورة الافتراضية
virtual machine,مكنة (كيان) تقديرية
VMS,في إم إس
virtual memory,ذاكِرَةٌ تَقْدِيرِيَّةٌ
virtual monitor,الشاشة الافتراضية
virtual network,شبكة افتراضية
virtual reality,الواقع الافتراضي
VSAM,طريقة التَّوصُّل إلى التخزين التقديري
virus,فيروس
vision system,نظام الرؤية
VDU,وَحْدَةُ عَرْضٍ مَرْئِيٍّ
visual programming,برمجة مرئية
very large scale integration,تَجْمِيعٌ عالِي الكِبَرِ
VMS,نِظامُ التَّشْغِيلِ التَّقْدِيرِيِّ (في إم إس)
VAB,الإجابة الصوتية
voice mail,بريد صوتي
voice print,بصمة الصوت
voice synthesis,تخليق الصوت
volatile memory,ذاكِرَةٌ مُتَلاشِيَةٌ
Von Neumann machine,مَكِنَةُ "فون نيومان"
voting processors,معالجة منتخبة
VPOP,في بوب
virtual reality browser,متصفح الواقع الافتراضي
video RAM,رام فيديوية
virtual sequential access method,طَرِيقَةُ تَوَصُّلٍ تَتابُعِيٍّ تَقْدِيرِيٍّ
V-series,سلسلة  V
volume table of con-tents,جدول المحتويات
,جدول في بداية شريط، أو قرص بيانات، يصف محتويات كل ملف من ملفاته.
WACK,واك
Wait before transmit positive Acknowledgment,إشارة من رموز متتابعة ترسلها محطة الإرسال للدلالة على عدم استعدادها مؤقتًا للاستقبال. والمصطلح اختصار للعبارة
wide area information service,خدمة معلومات المساحة الواسعة
wait list,قائِمَةُ اِنْتِظارٍ
Walkman,ووكمان
walk-trough,مُراجَعَة
wand,واند
Wand,وُند
wireless application protocol,بروتوكول تطبيق الاتصالات اللاسلكية
warm boot,إنهاضٌ على الساخن
warning marker, destination,علامة تحذيرية لنهاية الشريط
water, conductivity,مياه التوصيل الكهربائي
wavelet,مُويجَة
web conferencing,مؤتمر عبر الإنترنت
weblog,دخول الويب
webcam,كاميرا الويب
webcast,بثٌّ عبر الإنترنت
web based seminar,ندوة عبر الإنترنت
weblog, blog,مَدْوَنَة
weighted graph,مخطط وزنى
white noise,شَوْشَرَةٌ بَيْضاءٌ
white pages,صفحات بيضاء
WAIS,خدمة معلومات المساحة الواسعة
WAN,شَبَكَةٌ واسِعَةٌ للحواسيب
Wiki,ويكى
Wikileaks,ويكى ليكس
wildcard,رمز بديل
del  *.txt,رمز يمثل حرفا أو أكثر، أو حرف يحل محل حرف أو أكثر، على سبيل المثال:
willful intercept,تدخل متعمد
WIMP,وِيْمب
Winchester technology,تكنولوجيا "ونشستر"
scissoring,اِسْتِقْطاع
windows,نَوافِذ (ويندوز)
windows NT,نوافذ (ويندوز) NT
windows SDK,طقم لمُطوري ويندوز
wire wrapping,تَوْصِيلٌ بِلَفِّ الأسْلاكِ
wired logic,مَنْطِقٌ بالتَّوْصِيلِ
wireless,لاسلكي
WML,لغة وسم للاتصالات اللاسلكية
word,كَلِمَة
word size,طُولُ الكَلِمَةِ
word load,حِمْل
text processing,مُعالَجَةُ النُّصُوصِ
word length,طُولُ الكَلِمَةِ
work space,حيِّز تشغيل
work file,مِلَفُّ تَشْغِيلٍ
work area,حيِّز عَمَلٍ
working set,مَجْمُوعَةُ صَفَحاتِ التَّشْغِيلِ
workstation,مَحَطَّةُ عَمَلٍ
www,الشبكة العنكبوتية العالمية
worm,دودة
WORM,وُرم
windows open system architecture,بنية ويندوز المفتوح
wow and flutter,تَفاوُتٌ وخَفَقانٌ
wrap around,عَرْضٌ باللَّفِّ
write,كِتابَة
write head,رَأْسُ التَّسْجِيلِ
write instruction,أَمْرُ كِتابَةٍ
write ring,حَلَقَةُ كِتابَةٍ
write time,فَتْرَةُ الكِتابَةِ
WYSI WYG,ويزي ويج
,إظهار مَّا سوف يطبع في أقرب صورة ممكنة على الشاشة، ويتكون المصطلح الأجنبي من بادئات كلمات العبارة What You See Is What You Get.
X- Series,سلسلة x
x windowing system,نظام للنوافذ
exclusive NOT OR,أو – لا الحصرية
exclusive OR operation,عَمَلِيَّةُ عَدَمِ التَّطابُقِ
x-y plotter,راسِمَةُ بَياناتٍ
YACC,ياك
yellow , magenta , cyan , black,أصفر - أحمر أرجواني - أزرق داكن - أسود
,نظام ألوان يُستخدم لطباعة الرسوم.
zel,زيل
Zener Diode,دايود زِنَر
zero address instruction,أَمْرٌ بلا عُنْوانٍ
zero state,الحالَةُ الصِّفْرِيَّةُ
zero fill,مِلْءٌ بالأصْفارِ
,عملية وضع أصفار، بدلا من البيانات في مواضع التخزين.
zero length buffer,موازن فوري
zero suppression,حَذْفُ الأصْفارِ
zero transmission level reference point,النقطة المرجعية لمستوى الإرسال
zero insertion force socket,مقبس طيِّع
ezine,زاين
zoom,زوم
